,Crime Volume,City,Population,Crime per Capita,Average Income
85015,6963,"Phoenix, AZ",41895.0,0.166,"$38,640.88"
85008,6320,"Phoenix, AZ",62340.0,0.101,"$38,386.56"
85009,5513,"Phoenix, AZ",51711.0,0.107,"$30,201.80"
85041,5477,"Phoenix, AZ",62152.0,0.088,"$41,982.20"
85051,5389,"Phoenix, AZ",45313.0,0.119,"$37,564.47"
85017,5355,"Phoenix, AZ",42656.0,0.126,"$29,001.15"
85035,4752,"Phoenix, AZ",59660.0,0.08,"$31,103.29"
85043,4330,"Phoenix, AZ",38704.0,0.112,"$40,919.21"
85032,4301,"Phoenix, AZ",73203.0,0.059,"$56,899.87"
85033,4258,"Phoenix, AZ",64832.0,0.066,"$31,485.93"
85021,4256,"Phoenix, AZ",43378.0,0.098,"$68,366.34"
85029,4121,"Phoenix, AZ",47080.0,0.088,"$43,146.78"
85023,3927,"Phoenix, AZ",34268.0,0.115,"$64,926.32"
85016,3794,"Phoenix, AZ",35930.0,0.106,"$111,852.64"
85040,3778,"Phoenix, AZ",35204.0,0.107,"$35,805.26"
85042,3580,"Phoenix, AZ",47957.0,0.075,"$51,588.61"
85022,3573,"Phoenix, AZ",51920.0,0.069,"$64,638.80"
85019,3070,"Phoenix, AZ",27813.0,0.11,"$32,572.61"
85037,3004,"Phoenix, AZ",54817.0,0.055,"$38,785.49"
85031,2993,"Phoenix, AZ",33886.0,0.088,"$31,146.62"
85027,2897,"Phoenix, AZ",37873.0,0.076,"$53,099.13"
85020,2839,"Phoenix, AZ",35361.0,0.08,"$81,078.40"
85013,2823,"Phoenix, AZ",21028.0,0.134,"$76,062.34"
85018,2663,"Phoenix, AZ",38473.0,0.069,"$176,185.67"
85006,2661,"Phoenix, AZ",27206.0,0.098,"$42,771.80"
85034,2649,"Phoenix, AZ",5045.0,0.525,"$43,100.45"
85339,2494,"Laveen, AZ",47958.0,0.052,"$54,037.37"
85014,2275,"Phoenix, AZ",27623.0,0.082,"$70,285.71"
85053,2036,"Phoenix, AZ",30608.0,0.067,"$46,801.52"
85007,2000,"Phoenix, AZ",14428.0,0.139,"$54,350.55"
85044,1928,"Phoenix, AZ",41746.0,0.046,"$83,605.72"
85004,1650,"Phoenix, AZ",7164.0,0.23,"$83,022.25"
85003,1513,"Phoenix, AZ",8499.0,0.178,"$87,024.10"
85254,1435,"Scottsdale, AZ",47185.0,0.03,"$123,948.00"
85353,1348,"Tolleson, AZ",42801.0,0.031,"$43,542.49"
